kode_produk;tgl_berlaku;tanggal_berlaku;harga_berlaku_cabang;modal_cabang;biaya_cabang
PROD-0000001;01/01/2020 00:00;2020-01-01;10980;10380;190
PROD-0000001;02/01/2020 00:00;2020-01-02;11070;10550;60
PROD-0000001;03/01/2020 00:00;2020-01-03;11180;10620;30
PROD-0000001;04/01/2020 00:00;2020-01-04;11130;10570;70
PROD-0000001;05/01/2020 00:00;2020-01-05;10930;10410;180
PROD-0000001;06/01/2020 00:00;2020-01-06;11200;10640;240
PROD-0000001;07/01/2020 00:00;2020-01-07;11050;10470;100
PROD-0000001;08/01/2020 00:00;2020-01-08;11200;10640;260
PROD-0000001;09/01/2020 00:00;2020-01-09;10950;10390;180
PROD-0000001;10/01/2020 00:00;2020-01-10;10950;10480;210
PROD-0000001;11/01/2020 00:00;2020-01-11;10970;10330;120
PROD-0000001;12/01/2020 00:00;2020-01-12;10910;10420;230
PROD-0000001;13/01/2020 00:00;2020-01-13;11000;10360;150
PROD-0000001;14/01/2020 00:00;2020-01-14;11060;10510;240
PROD-0000001;15/01/2020 00:00;2020-01-15;10870;10300;210
PROD-0000001;16/01/2020 00:00;2020-01-16;11000;10350;250
PROD-0000001;17/01/2020 00:00;2020-01-17;10980;10470;70
PROD-0000001;18/01/2020 00:00;2020-01-18;11030;10450;250
PROD-0000001;19/01/2020 00:00;2020-01-19;11000;10450;250
PROD-0000001;20/01/2020 00:00;2020-01-20;11020;10500;240
PROD-0000001;21/01/2020 00:00;2020-01-21;11180;10600;240
PROD-0000001;22/01/2020 00:00;2020-01-22;11040;10490;170
PROD-0000001;23/01/2020 00:00;2020-01-23;11070;10500;10
PROD-0000001;24/01/2020 00:00;2020-01-24;11220;10660;240
PROD-0000001;25/01/2020 00:00;2020-01-25;10980;10520;90
PROD-0000001;26/01/2020 00:00;2020-01-26;11040;10510;0
PROD-0000001;27/01/2020 00:00;2020-01-27;11110;10650;270
PROD-0000001;28/01/2020 00:00;2020-01-28;10950;10410;30
PROD-0000001;29/01/2020 00:00;2020-01-29;10860;10320;80
PROD-0000001;30/01/2020 00:00;2020-01-30;11000;10390;190
PROD-0000001;31/01/2020 00:00;2020-01-31;10940;10500;100
PROD-0000001;01/02/2020 00:00;2020-02-01;11230;10670;230
PROD-0000001;02/02/2020 00:00;2020-02-02;11240;10720;210
PROD-0000001;03/02/2020 00:00;2020-02-03;11100;10470;130
PROD-0000001;04/02/2020 00:00;2020-02-04;11260;10800;120
PROD-0000001;05/02/2020 00:00;2020-02-05;11120;10660;160
PROD-0000001;06/02/2020 00:00;2020-02-06;11030;10460;190
PROD-0000001;07/02/2020 00:00;2020-02-07;11210;10650;70
PROD-0000001;08/02/2020 00:00;2020-02-08;11210;10760;190
PROD-0000001;09/02/2020 00:00;2020-02-09;11050;10400;0
PROD-0000001;10/02/2020 00:00;2020-02-10;11210;10560;150
PROD-0000001;11/02/2020 00:00;2020-02-11;11030;10480;140
PROD-0000001;12/02/2020 00:00;2020-02-12;11190;10630;80
PROD-0000001;13/02/2020 00:00;2020-02-13;11260;10690;120
PROD-0000001;14/02/2020 00:00;2020-02-14;11070;10500;140
PROD-0000001;15/02/2020 00:00;2020-02-15;11030;10480;140
PROD-0000001;16/02/2020 00:00;2020-02-16;11010;10460;180
PROD-0000001;17/02/2020 00:00;2020-02-17;11280;10720;60
PROD-0000001;18/02/2020 00:00;2020-02-18;11180;10560;170
PROD-0000001;19/02/2020 00:00;2020-02-19;11050;10510;240
PROD-0000001;20/02/2020 00:00;2020-02-20;11120;10590;260
PROD-0000001;21/02/2020 00:00;2020-02-21;11150;10560;50
PROD-0000001;22/02/2020 00:00;2020-02-22;11070;10540;120
PROD-0000001;23/02/2020 00:00;2020-02-23;11030;10390;260
PROD-0000001;24/02/2020 00:00;2020-02-24;10940;10320;50
PROD-0000001;25/02/2020 00:00;2020-02-25;11280;10680;200
PROD-0000001;26/02/2020 00:00;2020-02-26;11230;10570;70
PROD-0000001;27/02/2020 00:00;2020-02-27;11080;10430;270
PROD-0000001;28/02/2020 00:00;2020-02-28;11190;10690;20
PROD-0000001;29/02/2020 00:00;2020-02-29;11280;10710;250
PROD-0000001;01/03/2020 00:00;2020-03-01;11090;10640;40
PROD-0000001;02/03/2020 00:00;2020-03-02;11420;10800;110
PROD-0000001;03/03/2020 00:00;2020-03-03;11160;10520;30
PROD-0000001;04/03/2020 00:00;2020-03-04;11310;10780;120
PROD-0000001;05/03/2020 00:00;2020-03-05;11260;10590;100
PROD-0000001;06/03/2020 00:00;2020-03-06;11110;10560;110
PROD-0000001;07/03/2020 00:00;2020-03-07;11250;10790;30
PROD-0000001;08/03/2020 00:00;2020-03-08;11380;10810;120
PROD-0000001;09/03/2020 00:00;2020-03-09;11180;10540;90
PROD-0000001;10/03/2020 00:00;2020-03-10;11190;10620;140
PROD-0000001;11/03/2020 00:00;2020-03-11;11400;10830;70
PROD-0000001;12/03/2020 00:00;2020-03-12;11240;10690;130
PROD-0000001;13/03/2020 00:00;2020-03-13;11200;10640;170
PROD-0000001;14/03/2020 00:00;2020-03-14;11150;10590;230
PROD-0000001;15/03/2020 00:00;2020-03-15;11160;10640;260
PROD-0000001;16/03/2020 00:00;2020-03-16;11330;10760;260
PROD-0000001;17/03/2020 00:00;2020-03-17;11380;10710;150
PROD-0000001;18/03/2020 00:00;2020-03-18;11310;10810;60
PROD-0000001;19/03/2020 00:00;2020-03-19;11290;10680;270
PROD-0000001;20/03/2020 00:00;2020-03-20;11130;10570;130
PROD-0000001;21/03/2020 00:00;2020-03-21;11320;10790;230
PROD-0000001;22/03/2020 00:00;2020-03-22;11310;10770;110
PROD-0000001;23/03/2020 00:00;2020-03-23;11260;10590;10
PROD-0000001;24/03/2020 00:00;2020-03-24;11110;10550;80
PROD-0000001;25/03/2020 00:00;2020-03-25;11270;10730;110
PROD-0000001;26/03/2020 00:00;2020-03-26;11310;10690;10
PROD-0000001;27/03/2020 00:00;2020-03-27;11090;10570;40
PROD-0000001;28/03/2020 00:00;2020-03-28;11180;10600;10
PROD-0000001;29/03/2020 00:00;2020-03-29;11040;10490;10
PROD-0000001;30/03/2020 00:00;2020-03-30;11240;10640;70
PROD-0000001;31/03/2020 00:00;2020-03-31;11310;10740;200
PROD-0000001;01/04/2020 00:00;2020-04-01;11320;10760;50
PROD-0000001;02/04/2020 00:00;2020-04-02;11210;10650;200
PROD-0000001;03/04/2020 00:00;2020-04-03;11350;10800;260
PROD-0000001;04/04/2020 00:00;2020-04-04;11340;10780;20
PROD-0000001;05/04/2020 00:00;2020-04-05;11320;10760;180
PROD-0000001;06/04/2020 00:00;2020-04-06;11520;10990;10
PROD-0000001;07/04/2020 00:00;2020-04-07;11250;10690;140
PROD-0000001;08/04/2020 00:00;2020-04-08;11230;10670;20
PROD-0000001;09/04/2020 00:00;2020-04-09;11360;10900;200
PROD-0000001;10/04/2020 00:00;2020-04-10;11450;10880;220
