kode_produk;tgl_berlaku;tanggal_berlaku;harga_berlaku_cabang;modal_cabang;biaya_cabang
PROD-0000001;01/01/2020 00:00;01/01/2020;10980;10380;190
PROD-0000001;02/01/2020 00:00;02/01/2020;11070;10550;60
PROD-0000001;03/01/2020 00:00;03/01/2020;11180;10620;30
PROD-0000001;04/01/2020 00:00;04/01/2020;11130;10570;70
PROD-0000001;05/01/2020 00:00;05/01/2020;10930;10410;180
PROD-0000001;06/01/2020 00:00;06/01/2020;11200;10640;240
PROD-0000001;07/01/2020 00:00;07/01/2020;11050;10470;100
PROD-0000001;08/01/2020 00:00;08/01/2020;11200;10640;260
PROD-0000001;09/01/2020 00:00;09/01/2020;10950;10390;180
PROD-0000001;10/01/2020 00:00;10/01/2020;10950;10480;210
PROD-0000001;11/01/2020 00:00;11/01/2020;10970;10330;120
PROD-0000001;12/01/2020 00:00;12/01/2020;10910;10420;230
PROD-0000001;13/01/2020 00:00;13/01/2020;11000;10360;150
PROD-0000001;14/01/2020 00:00;14/01/2020;11060;10510;240
PROD-0000001;15/01/2020 00:00;15/01/2020;10870;10300;210
PROD-0000001;16/01/2020 00:00;16/01/2020;11000;10350;250
PROD-0000001;17/01/2020 00:00;17/01/2020;10980;10470;70
PROD-0000001;18/01/2020 00:00;18/01/2020;11030;10450;250
PROD-0000001;19/01/2020 00:00;19/01/2020;11000;10450;250
PROD-0000001;20/01/2020 00:00;20/01/2020;11020;10500;240
PROD-0000001;21/01/2020 00:00;21/01/2020;11180;10600;240
PROD-0000001;22/01/2020 00:00;22/01/2020;11040;10490;170
PROD-0000001;23/01/2020 00:00;23/01/2020;11070;10500;10
PROD-0000001;24/01/2020 00:00;24/01/2020;11220;10660;240
PROD-0000001;25/01/2020 00:00;25/01/2020;10980;10520;90
PROD-0000001;26/01/2020 00:00;26/01/2020;11040;10510;0
PROD-0000001;27/01/2020 00:00;27/01/2020;11110;10650;270
PROD-0000001;28/01/2020 00:00;28/01/2020;10950;10410;30
PROD-0000001;29/01/2020 00:00;29/01/2020;10860;10320;80
PROD-0000001;30/01/2020 00:00;30/01/2020;11000;10390;190
PROD-0000001;31/01/2020 00:00;31/01/2020;10940;10500;100
PROD-0000001;01/02/2020 00:00;01/02/2020;11230;10670;230
PROD-0000001;02/02/2020 00:00;02/02/2020;11240;10720;210
PROD-0000001;03/02/2020 00:00;03/02/2020;11100;10470;130
PROD-0000001;04/02/2020 00:00;04/02/2020;11260;10800;120
PROD-0000001;05/02/2020 00:00;05/02/2020;11120;10660;160
PROD-0000001;06/02/2020 00:00;06/02/2020;11030;10460;190
PROD-0000001;07/02/2020 00:00;07/02/2020;11210;10650;70
PROD-0000001;08/02/2020 00:00;08/02/2020;11210;10760;190
PROD-0000001;09/02/2020 00:00;09/02/2020;11050;10400;0
PROD-0000001;10/02/2020 00:00;10/02/2020;11210;10560;150
PROD-0000001;11/02/2020 00:00;11/02/2020;11030;10480;140
PROD-0000001;12/02/2020 00:00;12/02/2020;11190;10630;80
PROD-0000001;13/02/2020 00:00;13/02/2020;11260;10690;120
PROD-0000001;14/02/2020 00:00;14/02/2020;11070;10500;140
PROD-0000001;15/02/2020 00:00;15/02/2020;11030;10480;140
PROD-0000001;16/02/2020 00:00;16/02/2020;11010;10460;180
PROD-0000001;17/02/2020 00:00;17/02/2020;11280;10720;60
PROD-0000001;18/02/2020 00:00;18/02/2020;11180;10560;170
PROD-0000001;19/02/2020 00:00;19/02/2020;11050;10510;240
PROD-0000001;20/02/2020 00:00;20/02/2020;11120;10590;260
PROD-0000001;21/02/2020 00:00;21/02/2020;11150;10560;50
PROD-0000001;22/02/2020 00:00;22/02/2020;11070;10540;120
PROD-0000001;23/02/2020 00:00;23/02/2020;11030;10390;260
PROD-0000001;24/02/2020 00:00;24/02/2020;10940;10320;50
PROD-0000001;25/02/2020 00:00;25/02/2020;11280;10680;200
PROD-0000001;26/02/2020 00:00;26/02/2020;11230;10570;70
PROD-0000001;27/02/2020 00:00;27/02/2020;11080;10430;270
PROD-0000001;28/02/2020 00:00;28/02/2020;11190;10690;20
PROD-0000001;29/02/2020 00:00;29/02/2020;11280;10710;250
PROD-0000001;01/03/2020 00:00;01/03/2020;11090;10640;40
PROD-0000001;02/03/2020 00:00;02/03/2020;11420;10800;110
PROD-0000001;03/03/2020 00:00;03/03/2020;11160;10520;30
PROD-0000001;04/03/2020 00:00;04/03/2020;11310;10780;120
PROD-0000001;05/03/2020 00:00;05/03/2020;11260;10590;100
PROD-0000001;06/03/2020 00:00;06/03/2020;11110;10560;110
PROD-0000001;07/03/2020 00:00;07/03/2020;11250;10790;30
